station,zone,postcode,lat,long,easting,northing,value
Upminster Bridge,6,RM12 6PL,51.557719,0.234556,555002,186681,148
Upney,4,IG11 9LS,51.538406,0.101546,545844,184260,148
Upper Holloway,2,N19 4DJ,51.563623,-0.129095,529778,186630,7
Upper Warlingham,6,CR3 0EP,51.308772,-0.077467,534100,158383,20
Upton Park,3,E13 9AP,51.536628,0.034556,541204,183931,3
Uxbridge,6,UB8 1JZ,51.546455,-0.477087,505698,184161,20
Vauxhall,"1,2",SW8 1SR,51.485736,-0.123816,530366,177978,20
Victoria,1,SW1E 5JX,51.496424,-0.143906,528941,179131,55
Waddon,5,CR0 4NA,51.367379,-0.11738,531151,164828,20
Waddon Marsh,"3,4,5,6",CR0 4XT,51.377083,-0.117973,531082,165906,7
Wallington,5,SM6 0DZ,51.360332,-0.150849,528841,163985,148
Waltham Cross,7,EN8 7LU,51.685257,-0.02655,536520,200343,3
Walthamstow Central,3,E17 7LP,51.583018,-0.019926,537286,188986,148
Walthamstow Queens Road,3,E17 7QZ,51.581546,-0.02383,537020,188815,148
Wandle Park,"3,4,5,6",CR0 4JS,51.373401,-0.113239,531422,165505,7
Wandsworth Common,3,SW12 8NL,51.446366,-0.163523,527719,173530,7
Wandsworth Road,2,SW8 4PA,51.470223,-0.139023,529354,176226,3
Wandsworth Town,2,SW18 1SU,51.461034,-0.187896,525985,175119,20
Wanstead,4,E11 2NT,51.574902,0.028775,540685,188176,3
Wanstead Park,3,E7 0HU,51.551778,0.026404,540592,185600,148
Wapping,2,E1W 3PA,51.50434,-0.055846,535030,180170,20
Warren Street,1,NW1 3AA,51.52458,-0.138264,529253,182272,55
Warwick Avenue,2,W9 2PT,51.523104,-0.182939,526158,182030,7
Waterloo,1,SE1 7NY,51.503147,-0.113245,531050,179933,20
Watford,7,WD18 7LE,51.657605,-0.417256,509579,196610,55
Watford High Street,8,WD17 2EG,51.652654,-0.391682,511360,196098,20
Watford Junction,,WD17 1ET,51.663883,-0.396158,511023,197340,20
Wellesley Road,"3,4,5,6",CR0 2DD,51.375368,-0.097511,532511,165752,148
Welling,4,DA16 3AT,51.464777,0.101789,546096,176073,7
Wembley Central,4,HA9 6AG,51.551865,-0.296378,518214,185039,20
Wembley Park,4,HA9 9AA,51.563322,-0.279228,519373,186341,148
Wembley Stadium,4,HA9 8BQ,51.554655,-0.286032,518924,185366,3
West Acton,3,W3 6UP,51.51777,-0.280643,519394,181273,7
West Brompton,2,SW5 9JX,51.487329,-0.195524,525383,178030,7
West Croydon,5,CR0 2TA,51.378552,-0.10202,532188,166098,7
West Drayton,6,UB7 9DY,51.510071,-0.472162,506124,180122,3
West Dulwich,3,SE21 8HN,51.440912,-0.090658,532798,173053,20
West Ealing,3,W13 0NQ,51.513625,-0.319769,516690,180749,3
West Finchley,4,N3 1NT,51.609263,-0.188903,525507,191601,55
West Ham,3,E15 3BN,51.528526,0.005332,539202,182974,148
West Hampstead,2,NW6 2LX,51.547474,-0.191112,525524,184726,20
West Hampstead Thameslink,2,NW6 1XJ,51.548629,-0.192523,525423,184852,3
West Harrow,5,HA1 4HE,51.578924,-0.353832,514163,187957,20
West India Quay,2,E14 4ED,51.506763,-0.020568,537471,180505,7
West Kensington,2,W14 9NL,51.490109,-0.206189,524635,178321,55
West Norwood,3,SE27 0HS,51.431241,-0.103175,531956,171955,3
West Ruislip,6,HA4 7WD,51.569588,-0.437846,508364,186791,148
West Silvertown,3,E16 2AT,51.502884,0.02226,540455,180155,7
West Sutton,5,SM1 2EH,51.36615,-0.20463,525081,164539,7
West Wickham,5,BR4 0PY,51.381284,-0.014562,538266,166563,148
Westbourne Park,2,W11 1AB,51.520989,-0.200868,524920,181764,7
Westcombe Park,3,SE3 7EQ,51.484509,0.01776,540199,178103,7
Westferry,2,E14 8AD,51.509638,-0.026309,537064,180814,55
Westminster,1,SW1A 2JR,51.501402,-0.124988,530240,179718,55
White City,2,W12 7RH,51.512232,-0.224618,523296,180750,3
White Hart Lane,3,N17 7RP,51.605035,-0.070856,533693,191340,148
Whitechapel,2,E1 1BY,51.519588,-0.059406,534738,181859,20
Whitton,5,TW2 7LG,51.449588,-0.357668,514220,173568,7
Whyteleafe,6,CR3 0AD,51.309929,-0.081121,533842,158505,55
Whyteleafe South,6,CR3 0BD,51.30349,-0.076698,534169,157797,20
Willesden Green,"2,3",NW2 4QT,51.549373,-0.222393,523350,184884,7
Willesden Junction,3,NW10 4RA,51.532234,-0.243895,521905,182942,55
Wimbledon,3,SW19 1PS,51.421108,-0.206648,524791,170647,7
Wimbledon Chase,3,SW20 8DB,51.409531,-0.214075,524306,169347,55
Wimbledon Park,3,SW19 7DZ,51.434581,-0.199172,525274,172158,3
Winchmore Hill,4,N21 3NG,51.633887,-0.100902,531529,194494,7
Wood Green,3,N22 8HH,51.597454,-0.109512,531038,190427,55
Wood Lane,2,W12 7DS,51.509658,-0.224458,523314,180464,3
Wood Street,4,E17 3NZ,51.58667,-0.001939,538521,189426,148
Woodford,4,IG8 7QE,51.607202,0.034071,540952,191778,3
Woodgrange Park,"3,4",E7 8AA,51.549053,0.044587,541861,185332,20
Woodmansterne,6,CR5 3HS,51.319019,-0.154248,528720,159385,148
Woodside,"3,4,5,6",SE25 5DP,51.387098,-0.065333,534716,167115,55
Woodside Park,4,N12 8SE,51.617868,-0.185411,525725,192564,7
Woolwich Arsenal,4,SE18 6HX,51.489907,0.069208,543754,178803,55
Woolwich Dockyard,3,SE18 5JY,51.491108,0.054627,542738,178908,3
Worcester Park,4,KT4 7ND,51.381105,-0.245561,522192,166133,148
