station,zone,postcode,lat,long,easting,northing,value
Homerton,2,E9 5SD,51.546595,-0.038498,536108,184901,7
Honor Oak Park,3,SE23 3LE,51.450648,-0.044139,536002,174221,7
Hornchurch,6,RM12 6LS,51.554355,0.218941,553931,186274,55
Hornsey,3,N8 8SE,51.586475,-0.111801,530911,189202,3
Hounslow,5,TW3 3DL,51.462505,-0.361782,513902,174998,148
Hounslow Central,4,TW3 1JG,51.470926,-0.365944,513592,175928,7
Hounslow East,4,TW3 4AB,51.473708,-0.355261,514327,176254,20
Hounslow West,5,TW3 3DH,51.473106,-0.385693,512215,176140,7
Hoxton,"1,2",E2 8HR,51.531392,-0.075571,533582,183142,148
Hyde Park Corner,1,SW1X 7LY,51.502584,-0.15246,528330,179801,20
Ickenham,6,UB10 8PD,51.560825,-0.441565,508127,185811,55
Ilford,4,IG1 4DU,51.559142,0.0687,543501,186501,55
Imperial Wharf,2,SW6 2HA,51.474939,-0.182823,526299,176674,20
Island Gardens,2,E14 3FA,51.48795,-0.010479,538228,178432,55
Isleworth,4,TW7 4BX,51.475037,-0.337314,515570,176430,7
Kenley,6,CR8 5JA,51.3246,-0.101205,532400,160100,3
Kennington,2,SE11 4JQ,51.488662,-0.105056,531660,178337,148
Kensal Green,2,NW10 5JT,51.530524,-0.224699,523241,182784,3
Kensal Rise,2,NW10 3NT,51.534215,-0.220807,523501,183201,148
Kensington (Olympia),2,W14 0NE,51.49788,-0.210365,524324,179178,55
Kent House,4,BR3 1HY,51.412718,-0.045801,535999,170000,55
Kentish Town,2,NW5 2AA,51.55001,-0.140457,529029,185096,3
Kentish Town West,2,NW5 3LD,51.546548,-0.146742,528603,184700,55
Kenton,4,HA3 0XS,51.581496,-0.315202,516833,188304,55
Kew Bridge,3,TW8 0EF,51.490005,-0.288832,518898,178172,20
Kew Gardens,"3,4",TW9 3PZ,51.476789,-0.285367,519173,176708,55
Kidbrooke,3,SE3 9NF,51.46269,0.028315,540999,175697,55
Kilburn,2,NW6 7QL,51.546944,-0.204618,524589,184644,148
Kilburn High Road,2,NW6 7QL,51.537268,-0.191099,525553,183591,55
Kilburn Park,2,NW6 5AD,51.535136,-0.193952,525361,183349,3
King George V,3,E16 2JF,51.502009,0.062221,543231,180135,55
King Henry's Drive,"3,4,5,6",CR0 0LH,51.345364,-0.02025,537978,162558,20
King's Cross,1,N1 9AL,51.530798,-0.122742,530312,182991,20
Kings Cross St. Pancras,1,NW1 2BA,51.530312,-0.123858,530236,182935,20
Kingsbury,4,NW9 9EG,51.584877,-0.278587,519361,188739,148
Kingston,6,KT1 1UJ,51.412642,-0.301127,518244,169549,7
Kingswood,6,KT20 6EN,51.294723,-0.211219,524816,156585,20
Knightsbridge,1,SW3 1ED,51.501355,-0.16065,527765,179650,3
Knockholt,6,TN14 7HR,51.345752,0.130845,548499,162896,7
Ladbroke Grove,2,W10 6HJ,51.517211,-0.210184,524284,181328,55
Ladywell,3,SE13 7XB,51.456192,-0.01923,537716,174884,3
Lambeth North,1,SE1 7XG,51.49913,-0.111754,531165,179489,148
Lancaster Gate,1,W2 4QH,51.511891,-0.175416,526711,180796,20
Langdon Park,2,E14 6NW,51.518884,-0.015199,537807,181863,55
Latimer Road,2,W10 6SZ,51.513958,-0.217445,523789,180954,55
Lebanon Road,"3,4,5,6",CR0 6SF,51.375199,-0.084959,533385,165756,7
Lee,3,SE12 9JG,51.449459,0.013379,540002,174197,7
Leicester Square,1,WC2H 0AP,51.511291,-0.128228,529987,180812,7
Lewisham,"2,3",SE13 7RY,51.464881,-0.012418,538163,175863,7
Leyton,3,E10 5PS,51.558132,-0.006451,538295,186244,20
Leyton Midland Road,3,E10 6JT,51.569364,-0.008052,538150,187490,7
Leytonstone,"3,4",E11 1HE,51.568522,0.009155,539345,187429,7
Leytonstone High Road,3,E11 4RE,51.563807,0.008269,539298,186903,20
Limehouse,2,E14 7JD,51.512312,-0.039366,536150,181087,55
Liverpool Street,1,EC2M 7PR,51.517598,-0.082235,533160,181596,3
Lloyd Park,"3,4,5,6",CR0 5RA,51.364276,-0.080732,533711,164549,20
London Bridge,1,SE1 2SW,51.504674,-0.085991,532937,180152,55
London City Airport,3,E16 2DS,51.50369,0.047887,542231,180294,148
London Fields,2,E8 3PH,51.540719,-0.057685,534795,184212,20
Loughborough Junction,2,SW9 8SA,51.466679,-0.102483,531902,175897,20
Loughton,6,IG10 4PD,51.64157,0.055294,542314,195641,55
Lower Sydenham,4,SE26 5AU,51.424847,-0.033316,536831,171372,148
Maida Vale,2,W9 1JS,51.529995,-0.185418,525967,182792,3
Malden Manor,4,KT3 5PN,51.38461,-0.261106,521101,166497,20
Manor House,"2,3",N4 1BZ,51.570747,-0.095671,532074,187482,20
Manor Park,"3,4",E12 5EP,51.552854,0.045738,541929,185757,20
Mansion House,1,EC4N 6JD,51.512092,-0.094183,532347,180962,55
Marble Arch,1,W1C 2JS,51.513966,-0.158557,527875,181056,148
Maryland,3,E15 1SA,51.545668,0.005696,539175,184881,3
Marylebone,1,NW1 6JJ,51.522397,-0.163478,527510,181985,7
Maze Hill,3,SE10 9XG,51.483014,0.003219,539194,177909,7
Merton Park,"3,4,5,6",SW19 3HA,51.413392,-0.201328,525182,169798,20
Mile End,2,E3 4DH,51.525311,-0.032652,536577,182545,20
Mill Hill Broadway,4,NW7 2JU,51.612871,-0.249523,521300,191900,55
Mill Hill East,4,NW7 1BS,51.608317,-0.209881,524057,191460,55
Mitcham,"3,4,5,6",CR4 4BD,51.397489,-0.170857,527345,168082,7
Mitcham Eastfields,3,CR4 2ND,51.408384,-0.153987,528488,169323,55
Mitcham Junction,4,CR4 4HN,51.393043,-0.157422,528292,167611,148
Monument,1,EC4R 9AA,51.51063,-0.086174,532907,180814,7
